
 Lista de Imóveis da Caixa;;Data de geração:;27/12/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555524896164 ;MG ;BELO HORIZONTE ;SAUDADE ;RUA DEMETRIO RIBEIRO, N. 75, Apto 804, BL, 01 -VG N.120 ;290.000,00;290.000,00;0.00;Apartamento, 0.00 de área total, 67.16 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555524896164
 8555504067187 ;MG ;BELO HORIZONTE ;POUSADA SANTO ANTONIO ;RUA ERNESTO TOGNOLO, N. 95, Apto 404, BL 01 ;153.000,00;153.000,00;0.00;Apartamento, 0.00 de área total, 47.41 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555504067187
 8787711486216 ;MG ;BELO HORIZONTE ;MARIA TERESA ;RUA PADRE ARGEMIRO MOREIRA, N. 11300, Apto 201, BL 05 PAV 02 ;153.590,00;153.590,00;0.00;Apartamento, 0.00 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711486216
 8787712858036 ;MG ;BELO HORIZONTE ;SAO GABRIEL ;RUA PADRE ARGEMIRO MOREIRA, N. 11567, Apto 101, BL 02 ;183.898,00;183.000,00;0.00;Apartamento, 0.00 de área total, 50.13 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712858036
 8787710840580 ;MG ;BELO HORIZONTE ;JULIANA ;RUA JORNALISTA JORGE BAPTISTA, N. 372, Apto 101, BL 05 ;165.848,90;165.000,00;0.00;Apartamento, 0.00 de área total, 45.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710840580
 8787710945489 ;MG ;BELO HORIZONTE ;SAO GABRIEL ;RUA PADRE ARGEMIRO MOREIRA, N. 11667, Apto 301, BL 07 ;166.230,76;165.000,00;0.00;Apartamento, 0.00 de área total, 47.27 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710945489
 8787701717002 ;MG ;BELO HORIZONTE ;SOLIMOES ;RUA CAVIUNA, N. 337, Apto 204, BL 05 ;157.417,20;156.000,00;0.00;Apartamento, 0.00 de área total, 48.29 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701717002
 8444419591568 ;MG ;BELO HORIZONTE ;JAQUELINE ;RUA TIMOTEO NONATO NASCIMENTO, N. 220, Apto 102, . ;228.515,17;223.000,00;0.00;Apartamento, 0.00 de área total, 104.61 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419591568
 8444426295910 ;MG ;BELO HORIZONTE ;CALIFORNIA ;RUA PATRICIO BARBOSA, N. 783, Apto 301, BL A 06 ;171.837,21;166.000,00;0.00;Apartamento, 0.00 de área total, 58.64 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426295910
 8787707632092 ;MG ;BELO HORIZONTE ;SAO GABRIEL ;RUA PADRE ARGEMIRO MOREIRA, N. 11420, Apto 502, BL 02 PAV 05 ;138.066,00;133.000,00;0.00;Apartamento, 0.00 de área total, 43.33 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707632092
